learn:dsjwz.csv check jqzx.csv:98:观点 | 为什么深度学习仍未取代传统的计算机视觉技术？ 	 Result: 	0.1519720342535436 	471 	146



  	class: 烦闷  	d: 31  	pt: 2.0  	diff:  苦于A0.2 苦闷A0.2 心烦A0.2 堵A0.2 沉闷A0.2 烦恼B1.0
  	class: 罐子  	d: 3  	pt: 2.0  	diff:  罐头A1.0 罐子B1.0
  	class: 领土  	d: 12  	pt: 2.0  	diff:  疆土A0.3333333333333333 国土A0.6666666666666666 版图B1.0
  	class: 过分  	d: 8  	pt: 2.0  	diff:  过度A0.9444444444444444 过分A0.05555555555555555 过头B1.0
  	class: 好  	d: 49  	pt: 1.9639639639639634  	diff:  出色A0.09009009009009009 漂亮A0.07207207207207207 优秀A0.2882882882882883 精彩A0.12612612612612611 理想A0.3063063063063063 精美A0.018018018018018018 佳AB0.9819819819819819 美妙A0.04504504504504504 拔尖A0.009009009009009009 优异A0.009009009009009009 帅A0.009009009009009009 妙A0.009009009009009009
  	class: 景象  	d: 10  	pt: 1.9148936170212765  	diff:  状况AB0.9574468085106383 现象A0.1702127659574468 场景A0.7163120567375887 情景A0.05673758865248227 万象A0.0070921985815602835 景象A0.0070921985815602835
  	class: 近似  	d: 17  	pt: 1.8865979381443299  	diff:  类似A0.5 接近A0.16494845360824742 类A0.02577319587628866 好像A0.07731958762886598 相近A0.041237113402061855 象是A0.005154639175257732 近似A0.12886597938144329 看似AB0.9432989690721649
  	class: 见解  	d: 8  	pt: 1.796875  	diff:  视角A0.1015625 看法A0.1484375 观点A0.453125 意见A0.09375 理念A0.0703125 见解AB0.8984375 眼光A0.03125
  	class: 坏  	d: 17  	pt: 1.75  	diff:  潮A0.25 不善A0.125 糟A0.25 鬼A0.25 不良AB0.875
  	class: 正确  	d: 18  	pt: 1.688524590163934  	diff:  科学A0.8032786885245902 不错AB0.8442622950819672 不易A0.00819672131147541 没错A0.020491803278688523 正确性A0.00819672131147541 无误A0.004098360655737705
  	class: 叫做  	d: 18  	pt: 1.681159420289855  	diff:  名为A0.21739130434782608 称为A0.45652173913043476 名A0.09420289855072464 称作AB0.47101449275362317 名叫A0.057971014492753624 称之为AB0.3695652173913043 号称A0.007246376811594203 称做A0.007246376811594203
  	class: 任意  	d: 17  	pt: 1.6666666666666665  	diff:  任意A0.5 自由A0.3333333333333333 轻易AB0.8333333333333334
  	class: 涉及  	d: 14  	pt: 1.5172413793103445  	diff:  提到AB0.7586206896551724 关系A0.4329501915708812 涉及A0.29118773946360155 关乎A0.01532567049808429 干A0.01532567049808429 事关A0.0038314176245210726
  	class: 对象  	d: 4  	pt: 1.4846153846153847  	diff:  对象AB0.7423076923076923 目标A0.7423076923076923
  	class: 正规  	d: 11  	pt: 1.3816425120772946  	diff:  专业A0.6570048309178744 标准AB0.6908212560386473 正规A0.004830917874396135 规范A0.028985507246376812
  	class: 剪  	d: 7  	pt: 1.3333333333333335  	diff:  剪刀A0.3333333333333333 剪裁A0.3333333333333333 裁剪AB0.6666666666666667
  	class: 再  	d: 13  	pt: 1.3333333333333335  	diff:  双重A0.5 重AB0.6666666666666667 复A0.16666666666666666
