	learn:jqzx.csv check jqzx.csv:335:业界 | 亚马逊无人商店开业了，我们到现场排了队还来了一次花式测评     	 Result: 	0.21501702266459108 	433 	149



  	class: 数量  	d: 7  	pt: 1.9861660079051384  	diff:  数据A0.8997035573122529 数量A0.09313241106719368 数目AB0.9930830039525692 数额A0.00024703557312252963
  	class: 全面  	d: 29  	pt: 1.9852941176470589  	diff:  完美A0.5808823529411765 完善A0.3602941176470588 圆A0.051470588235294115 健全AB0.9926470588235294
  	class: 遮盖  	d: 15  	pt: 1.9726027397260275  	diff:  幂A0.1917808219178082 覆盖A0.7534246575342466 掩A0.0136986301369863 埋A0.0136986301369863 掩盖A0.0136986301369863 遮住AB0.9863013698630136
  	class: 群众  	d: 6  	pt: 1.9615384615384615  	diff:  公众A0.75 大众A0.19230769230769232 民众A0.038461538461538464 群众AB0.9807692307692307
  	class: 部署  	d: 4  	pt: 1.9601593625498008  	diff:  配置A0.44223107569721115 部署A0.5219123505976095 配备AB0.9800796812749004 安排A0.01593625498007968
  	class: 趋势  	d: 13  	pt: 1.9599109131403119  	diff:  方向A0.7750556792873051 趋势A0.1915367483296214 大势A0.0022271714922048997 可行性AB0.9799554565701559 大方向A0.008908685968819599 动向A0.0022271714922048997
  	class: 围绕  	d: 11  	pt: 1.9591836734693877  	diff:  围绕A0.8979591836734694 圈A0.02040816326530612 环A0.061224489795918366 环绕AB0.9795918367346939
  	class: 挑选  	d: 26  	pt: 1.9538239538239537  	diff:  选择A0.8715728715728716 选项A0.050505050505050504 选取A0.04329004329004329 挑选AB0.976911976911977 取舍A0.004329004329004329 选A0.005772005772005772 拣选A0.001443001443001443
  	class: 价格  	d: 4  	pt: 1.9444444444444444  	diff:  价格A0.9722222222222222 价位AB0.9722222222222222
  	class: 种类  	d: 12  	pt: 1.9432013769363166  	diff:  项目A0.39759036144578314 类型A0.27710843373493976 品种A0.0034423407917383822 类别A0.29345955249569705 种类AB0.9716006884681584
  	class: 消失  	d: 45  	pt: 1.938144329896907  	diff:  收敛A0.6597938144329897 消失A0.30412371134020616 消散A0.005154639175257732 流失AB0.9690721649484536
  	class: 收  	d: 13  	pt: 1.9166666666666667  	diff:  接收A0.7777777777777778 收到A0.1388888888888889 接下A0.006944444444444444 收取AB0.9583333333333334 接到A0.006944444444444444 吸收A0.013888888888888888 吸纳A0.013888888888888888
  	class: 叙述  	d: 6  	pt: 1.9047619047619047  	diff:  描述A0.9206349206349206 讲述AB0.9523809523809523 叙述A0.031746031746031744
  	class: 追赶  	d: 12  	pt: 1.8823529411764706  	diff:  追赶A0.23529411764705882 追A0.5882352941176471 赶超A0.11764705882352941 追逐AB0.9411764705882353
  	class: 资本  	d: 12  	pt: 1.8813056379821957  	diff:  成本A0.6913946587537092 资本A0.12462908011869436 基金A0.08902077151335312 资产A0.02967359050445104 资金AB0.9406528189910979 财力A0.005934718100890208
  	class: 想法  	d: 8  	pt: 1.8666666666666667  	diff:  动机A0.9333333333333333 心思AB0.9333333333333333
