learn:dsjwz.csv check jqzx.csv:24:活动 | 2018深圳国际机器人与智能系统院士论坛邀请函 	 Result: 	0.20524581335536377 	205 	68



  	class: 人才  	d: 13  	pt: 2.0  	diff:  才子A1.0 精英B1.0
  	class: 倾听  	d: 7  	pt: 2.0  	diff:  聆A0.9 倾听A0.1 聆听B1.0
  	class: 出席  	d: 11  	pt: 1.9607843137254901  	diff:  参加A0.9019607843137255 与会A0.0196078431372549 列席A0.0392156862745098 出席AB0.9803921568627451 在座A0.0196078431372549
  	class: 景象  	d: 10  	pt: 1.9148936170212765  	diff:  状况AB0.9574468085106383 现象A0.1702127659574468 场景A0.7163120567375887 情景A0.05673758865248227 万象A0.0070921985815602835 景象A0.0070921985815602835
  	class: 好  	d: 49  	pt: 1.7477477477477474  	diff:  出色A0.09009009009009009 漂亮A0.07207207207207207 优秀A0.2882882882882883 精彩AB0.8738738738738738 理想A0.3063063063063063 精美A0.018018018018018018 佳A0.018018018018018018 美妙A0.04504504504504504 拔尖A0.009009009009009009 优异A0.009009009009009009 帅A0.009009009009009009 妙A0.009009009009009009
  	class: 推动  	d: 12  	pt: 1.7058823529411764  	diff:  推动A0.2529411764705882 推A0.4117647058823529 推进AB0.8529411764705882 推向A0.023529411764705882 有助于A0.16470588235294117
  	class: 著名  	d: 33  	pt: 1.6578947368421053  	diff:  资深A0.19736842105263158 名牌A0.02631578947368421 著名A0.4605263157894737 闻名A0.06578947368421052 知名AB0.8289473684210527 有名A0.05263157894736842 老牌A0.02631578947368421
  	class: 寻找  	d: 23  	pt: 1.6071428571428572  	diff:  寻找AB0.8035714285714286 找A0.17261904761904762 搜索A0.5 探寻A0.005952380952380952 搜寻A0.01488095238095238 查找A0.10119047619047619 找寻A0.002976190476190476 摸索A0.002976190476190476 追寻A0.002976190476190476
  	class: 商店  	d: 24  	pt: 1.6024844720496894  	diff:  公司A0.7540372670807454 商家A0.016149068322981366 商店A0.017391304347826087 企业AB0.8012422360248448 店铺A0.006211180124223602 局A0.006211180124223602 柜A0.0012422360248447205
  	class: 探究  	d: 8  	pt: 1.5934959349593496  	diff:  深究A0.016260162601626018 探索A0.7804878048780488 探讨AB0.7967479674796748
  	class: 关头  	d: 8  	pt: 1.5  	diff:  契机AB0.75 转折点A0.25 转机A0.5
  	class: 管辖  	d: 9  	pt: 1.4999999999999998  	diff:  总统A0.7 部AB0.35 总理AB0.4 管辖A0.05
  	class: 政策  	d: 5  	pt: 1.2439024390243902  	diff:  策略AB0.6219512195121951 政策A0.6219512195121951
  	class: 设立  	d: 6  	pt: 1.2363636363636363  	diff:  举办AB0.6181818181818182 开设A0.43636363636363634 设立A0.18181818181818182
  	class: 楼房  	d: 9  	pt: 1.1111111111111112  	diff:  大楼A0.4444444444444444 楼AB0.5555555555555556 楼层A0.1111111111111111
  	class: 写作  	d: 22  	pt: 1.0714285714285714  	diff:  撰写AB0.5357142857142857 著作A0.14285714285714285 行文A0.07142857142857142 写作A0.2857142857142857 撰文A0.03571428571428571
  	class: 申请  	d: 3  	pt: 1.0357142857142856  	diff:  报名AB0.5178571428571428 申请A0.5178571428571429
