learn:dsjwz.csv check jqzx.csv:334:业界 | 前微软亚洲研究院资深研究员梅涛博士加盟京东，担纲计算机视觉与多媒体研发 	 Result: 	0.17193671945427014 	330 	105



  	class: 食谱  	d: 4  	pt: 2.0  	diff:  菜单A1.0 菜谱B1.0
  	class: 承揽  	d: 10  	pt: 2.0  	diff:  承包A0.5 揽A0.5 包揽B1.0
  	class: 意图  	d: 6  	pt: 1.9545454545454546  	diff:  作用A0.9772727272727273 意图AB0.9772727272727273
  	class: 韬略  	d: 3  	pt: 1.8148148148148149  	diff:  战略A0.9074074074074074 战略性AB0.9074074074074074
  	class: 丰富  	d: 21  	pt: 1.7777777777777777  	diff:  富于A0.1111111111111111 充足A0.6666666666666666 丰盛A0.1111111111111111 雄厚AB0.8888888888888888
  	class: 杰出  	d: 36  	pt: 1.736842105263158  	diff:  典型A0.7105263157894737 超人A0.10526315789473684 出众A0.02631578947368421 杰出AB0.868421052631579 榜首A0.02631578947368421
  	class: 学校  	d: 9  	pt: 1.6875  	diff:  学校A0.78125 院校AB0.84375 学府A0.0625
  	class: 给予  	d: 13  	pt: 1.6551724137931034  	diff:  给予A0.5517241379310345 赋予A0.2413793103448276 授予AB0.8275862068965517 赋A0.034482758620689655
  	class: 著名  	d: 33  	pt: 1.6052631578947367  	diff:  资深AB0.8026315789473684 名牌A0.02631578947368421 著名A0.4605263157894737 闻名A0.06578947368421052 知名A0.17105263157894737 有名A0.05263157894736842 老牌A0.02631578947368421
  	class: 依靠  	d: 32  	pt: 1.5955056179775282  	diff:  借助AB0.797752808988764 依赖A0.2808988764044944 指A0.33707865168539325 仰A0.011235955056179775 负A0.10112359550561797 依赖性A0.02247191011235955 借助于A0.02247191011235955 倚重A0.011235955056179775 仗A0.011235955056179775
  	class: 推动  	d: 12  	pt: 1.4941176470588233  	diff:  推动AB0.7470588235294118 推A0.4117647058823529 推进A0.14705882352941177 推向A0.023529411764705882 有助于A0.16470588235294117
  	class: 机关  	d: 3  	pt: 1.4098360655737705  	diff:  机构A0.5245901639344263 单位A0.18032786885245902 部门AB0.7049180327868853
  	class: 制造  	d: 6  	pt: 1.3454545454545455  	diff:  打造AB0.6727272727272727 制造A0.6727272727272727
  	class: 转车  	d: 14  	pt: 1.2592592592592593  	diff:  转账A0.2037037037037037 转化AB0.6296296296296297 转向A0.25925925925925924 转正A0.018518518518518517 转发A0.1111111111111111 转折A0.037037037037037035
  	class: 价值  	d: 2  	pt: 1.2232415902140672  	diff:  值A0.6116207951070336 价值AB0.6116207951070336
  	class: 稳固  	d: 20  	pt: 1.2  	diff:  深厚AB0.6 牢固A0.4 稳固A0.2
  	class: 增强  	d: 9  	pt: 1.1557377049180326  	diff:  提高AB0.5778688524590163 增长A0.45901639344262296 增强A0.11475409836065574 增进A0.004098360655737705
  	class: 资本  	d: 12  	pt: 1.1541850220264318  	diff:  资产AB0.3502202643171806 成本AB0.22687224669603523 资金A0.1894273127753304 资本A0.1145374449339207 基金A0.27312775330396477
  	class: 就职  	d: 10  	pt: 1.1428571428571428  	diff:  新任A0.2857142857142857 就职AB0.5714285714285714 上任A0.14285714285714285 下车A0.14285714285714285
