learn:dsjwz.csv check jqzx.csv:46:登上《Cell》封面的AI医疗影像诊断系统：机器之心专访UCSD张康教授 	 Result: 	0.17166609583228346 	655 	221



  	class: 给予  	d: 13  	pt: 2.0  	diff:  给予A0.5517241379310345 赋予A0.2413793103448276 授予A0.1724137931034483 赋A0.034482758620689655 予以B1.0
  	class: 阻塞  	d: 25  	pt: 2.0  	diff:  阻塞A0.5 拥塞A0.5 隔阂B1.0
  	class: 遮挡  	d: 15  	pt: 2.0  	diff:  屏蔽A0.6 挡A0.4 遮挡B1.0
  	class: 细菌  	d: 2  	pt: 2.0  	diff:  菌A1.0 细菌B1.0
  	class: 肿  	d: 5  	pt: 2.0  	diff:  肿A1.0 水肿B1.0
  	class: 评议  	d: 7  	pt: 2.0  	diff:  鉴定A1.0 评议B1.0
  	class: 异常  	d: 21  	pt: 2.0  	diff:  独特A0.9411764705882353 出格A0.058823529411764705 特异B1.0
  	class: 易于  	d: 6  	pt: 2.0  	diff:  易于A0.35714285714285715 爱A0.6428571428571429 易B1.0
  	class: 精巧  	d: 22  	pt: 2.0  	diff:  精细A0.625 精密A0.125 精致A0.25 精妙B1.0
  	class: 取决  	d: 4  	pt: 2.0  	diff:  取决于A1.0 有赖于B1.0
  	class: 顶点  	d: 9  	pt: 1.878787878787879  	diff:  终极AB0.9393939393939394 终端A0.06060606060606061 极限A0.18181818181818182 顶点A0.6818181818181818 顶峰A0.015151515151515152
  	class: 交  	d: 12  	pt: 1.8632478632478633  	diff:  给出A0.5897435897435898 付出AB0.9316239316239316 交给A0.02564102564102564 交付A0.042735042735042736 提交A0.27350427350427353
  	class: 一再  	d: 23  	pt: 1.8148148148148149  	diff:  频繁A0.12037037037037036 数A0.7870370370370371 反复AB0.9074074074074074
  	class: 有  	d: 28  	pt: 1.6125654450261777  	diff:  拥有A0.6020942408376964 富有A0.031413612565445025 具A0.06806282722513089 具备AB0.806282722513089 持有A0.07853403141361257 负有A0.010471204188481676 存有A0.005235602094240838 享有A0.010471204188481676
  	class: 寻找  	d: 23  	pt: 1.6071428571428572  	diff:  寻找AB0.8035714285714286 找A0.17261904761904762 搜索A0.5 探寻A0.005952380952380952 搜寻A0.01488095238095238 查找A0.10119047619047619 找寻A0.002976190476190476 摸索A0.002976190476190476 追寻A0.002976190476190476
  	class: 引导  	d: 3  	pt: 1.6  	diff:  引导A0.8 指引AB0.8
  	class: 全面  	d: 29  	pt: 1.5357142857142856  	diff:  完美A0.6964285714285714 完善AB0.7678571428571428 圆A0.05357142857142857 健全A0.017857142857142856
  	class: 儿童  	d: 31  	pt: 1.4782608695652173  	diff:  小朋友A0.34782608695652173 小孩子A0.08695652173913043 小孩A0.21739130434782608 儿童AB0.7391304347826086 娃娃A0.08695652173913043
  	class: 好  	d: 49  	pt: 1.423423423423423  	diff:  出色A0.09009009009009009 漂亮A0.07207207207207207 优秀AB0.7117117117117118 精彩A0.12612612612612611 理想A0.3063063063063063 精美A0.018018018018018018 佳A0.018018018018018018 美妙A0.04504504504504504 拔尖A0.009009009009009009 优异A0.009009009009009009 帅A0.009009009009009009 妙A0.009009009009009009
