learn:dsjwz.csv check jqzx.csv:222:想击败英伟达？可能得十家以上不同垂直领域的深鉴科技，这就是AI芯片的「行情」 	 Result: 	0.19683450758493043 	977 	309



  	class: 弯路  	d: 4  	pt: 2.0  	diff:  弯路A1.0 弯道B1.0
  	class: 竭力  	d: 31  	pt: 2.0  	diff:  力图A1.0 拼命B1.0
  	class: 流行  	d: 7  	pt: 2.0  	diff:  流行A1.0 盛行B1.0
  	class: 公安局  	d: 10  	pt: 2.0  	diff:  警方A0.75 警察局A0.125 公安部A0.125 派出所B1.0
  	class: 杂乱  	d: 37  	pt: 2.0  	diff:  混乱A0.5333333333333333 凌乱A0.2 杂乱A0.2 驳杂A0.06666666666666667 庞杂B1.0
  	class: 冷却  	d: 5  	pt: 2.0  	diff:  冷却A1.0 制冷B1.0
  	class: 增多  	d: 14  	pt: 2.0  	diff:  增加A0.9541984732824428 增多A0.03816793893129771 增A0.007633587786259542 搭B1.0
  	class: 留  	d: 8  	pt: 2.0  	diff:  留下A0.5263157894736842 预留A0.10526315789473684 留住A0.15789473684210525 留给A0.15789473684210525 养A0.05263157894736842 留B1.0
  	class: 忍耐  	d: 10  	pt: 2.0  	diff:  容忍A1.0 耐B1.0
  	class: 胜利  	d: 28  	pt: 2.0  	diff:  赢A0.5454545454545454 获胜A0.45454545454545453 取胜B1.0
  	class: 担任  	d: 7  	pt: 2.0  	diff:  担任A0.9772727272727273 充当A0.022727272727272728 出任B1.0
  	class: 结合  	d: 15  	pt: 2.0  	diff:  整合A0.4342105263157895 组合A0.5394736842105263 结成A0.02631578947368421 烧结B1.0
  	class: 提供  	d: 2  	pt: 1.9899244332493702  	diff:  提供A0.9949622166246851 资AB0.9949622166246851
  	class: 合并  	d: 24  	pt: 1.951219512195122  	diff:  并入A0.024390243902439025 合并A0.36585365853658536 集成A0.5365853658536586 联结A0.024390243902439025 联A0.024390243902439025 拼AB0.6422764227642276 一统B0.3333333333333333
  	class: 失败  	d: 26  	pt: 1.92  	diff:  失败A0.62 黄A0.3 挫败A0.04 砸AB0.96
  	class: 因素  	d: 3  	pt: 1.9008264462809916  	diff:  因素A0.4214876033057851 元素A0.5289256198347108 要素AB0.9504132231404958
  	class: 叫做  	d: 18  	pt: 1.8840579710144927  	diff:  名为A0.21739130434782608 称为A0.45652173913043476 名A0.09420289855072464 称作A0.028985507246376812 名叫AB0.9420289855072463 称之为A0.13043478260869565 号称A0.007246376811594203 称做A0.007246376811594203
  	class: 改换  	d: 12  	pt: 1.8782608695652174  	diff:  转换A0.4956521739130435 转移A0.23478260869565218 更换AB0.9391304347826087 变换A0.06086956521739131 变A0.05217391304347826 移A0.017391304347826087 改换A0.017391304347826087 换A0.06086956521739131
  	class: 数量  	d: 7  	pt: 1.8695255474452552  	diff:  数据A0.9292883211678832 数量AB0.9347627737226277 数目A0.0036496350364963502 数码A0.0013686131386861315 数额A0.0004562043795620438
  	class: 困难  	d: 58  	pt: 1.8333333333333333  	diff:  棘手A0.4583333333333333 费时A0.08333333333333333 艰难A0.2916666666666667 吃力A0.041666666666666664 费力AB0.9166666666666666 紧A0.041666666666666664
