	learn:jqzx.csv check jqzx.csv:398:教程 | 用Python实现类FaceID的人脸识别？一文告诉你该怎么做     	 Result: 	0.11304091482282265 	475 	150



  	class: 寻找  	d: 23  	pt: 1.9057142857142855  	diff:  查找A0.03142857142857143 寻找A0.18 搜索A0.7114285714285714 搜寻A0.004285714285714286 找AB0.9528571428571428 摸索A0.007142857142857143 觅A0.004285714285714286 探寻A0.005714285714285714 找寻A0.002857142857142857 追寻A0.002857142857142857 寻A0.0014285714285714286 招来A0.0014285714285714286
  	class: 表面  	d: 4  	pt: 1.8695652173913044  	diff:  表面A0.9347826086956522 外表AB0.9347826086956522
  	class: 依靠  	d: 32  	pt: 1.7836411609498681  	diff:  依赖A0.36147757255936674 依赖性A0.05804749340369393 指A0.3403693931398417 借助A0.13192612137203166 负AB0.3970976253298153 借助于AB0.4947229551451187
  	class: 包含  	d: 25  	pt: 1.7393617021276595  	diff:  包含A0.7021276595744681 隐含A0.06515957446808511 涵盖A0.03590425531914894 带有AB0.8696808510638298 含有A0.041223404255319146 含A0.017287234042553192 含蓄A0.0013297872340425532 暗含A0.0013297872340425532 蕴含A0.0026595744680851063 蕴藏A0.0013297872340425532 饱含A0.0013297872340425532
  	class: 肤浅  	d: 11  	pt: 1.7142857142857142  	diff:  浅A0.7857142857142857 皮毛AB0.8571428571428572 肤浅A0.07142857142857142
  	class: 假装  	d: 12  	pt: 1.5  	diff:  假装A0.75 装AB0.75
  	class: 接替  	d: 6  	pt: 1.5  	diff:  接替AB0.75 接手A0.25 接任A0.5
  	class: 需要  	d: 11  	pt: 1.3725490196078431  	diff:  需求A0.6601307189542484 需AB0.6862745098039216 急需A0.0196078431372549 亟需A0.0032679738562091504 亟待A0.0032679738562091504
  	class: 差别  	d: 6  	pt: 1.3580246913580247  	diff:  差异A0.6790123456790124 差距AB0.6790123456790124
  	class: 重要  	d: 29  	pt: 1.3333333333333335  	diff:  关键A0.3923076923076923 重点AB0.6666666666666667 重要性A0.2282051282051282 着重A0.046153846153846156
  	class: 撞  	d: 18  	pt: 1.2999999999999998  	diff:  碰撞A0.3 拍AB0.65 相撞A0.15 撞击A0.2
  	class: 定义  	d: 3  	pt: 1.2290809327846364  	diff:  概念AB0.6145404663923182 定义A0.6145404663923183
  	class: 不可企及  	d: 7  	pt: 1.2083333333333335  	diff:  低于AB0.6041666666666667 小于A0.6041666666666666
  	class: 惊奇  	d: 20  	pt: 1.2054794520547945  	diff:  惊讶AB0.6027397260273972 好奇A0.2054794520547945 惊奇A0.0821917808219178 奇异A0.3150684931506849
  	class: 入手  	d: 4  	pt: 1.12  	diff:  入手A0.28 着手A0.28 动手AB0.56
  	class: 仔细  	d: 21  	pt: 1.0909090909090908  	diff:  细致AB0.5454545454545454 精心A0.2727272727272727 细A0.22727272727272727 细心A0.045454545454545456
  	class: 减少  	d: 22  	pt: 1.0551181102362204  	diff:  减少AB0.5275590551181102 压缩A0.34908136482939633 减去A0.05774278215223097 缩减A0.03674540682414698 减小A0.07349081364829396 削减A0.007874015748031496 裁减A0.0026246719160104987
  	class: 头  	d: 10  	pt: 1.0  	diff:  头部AB0.5 脑袋A0.16666666666666666 脑部A0.3333333333333333
  	class: 证明  	d: 14  	pt: 0.9844357976653697  	diff:  验证AB0.49221789883268485 证明A0.44163424124513617 认证A0.017509727626459144 证实A0.021400778210116732 证A0.007782101167315175 征A0.0019455252918287938 作证A0.0019455252918287938
  	class: 狗  	d: 3  	pt: 0.9736842105263157  	diff:  狗AB0.48684210526315785 犬AB0.4868421052631579
  	class: 部署  	d: 4  	pt: 0.9561752988047809  	diff:  配置A0.44223107569721115 部署AB0.47808764940239046 配备A0.0199203187250996 安排A0.01593625498007968
  	class: 全面  	d: 29  	pt: 0.838235294117647  	diff:  完美AB0.4191176470588235 完善A0.3602941176470588 圆A0.051470588235294115 健全A0.007352941176470588
  	class: 改进  	d: 6  	pt: 0.7647058823529411  	diff:  改进AB0.38235294117647056 改善A0.3764705882352941 改良A0.0058823529411764705
  	class: 结束  	d: 38  	pt: 0.7559055118110234  	diff:  结束AB0.3779527559055118 完A0.2047244094488189 截止A0.07086614173228346 结A0.031496062992125984 告终A0.007874015748031496 终结A0.015748031496062992 完毕A0.023622047244094488 利落A0.007874015748031496 完结A0.007874015748031496 收A0.007874015748031496
  	class: 种类  	d: 12  	pt: 0.7464142283419392  	diff:  项目AB0.06425702811244982 类型A0.27710843373493976 品种A0.0034423407917383822 类别AB0.3732071141709696 种类A0.028399311531841654
  	class: 增长  	d: 6  	pt: 0.7419354838709677  	diff:  添加AB0.3709677419354839 长A0.33064516129032256 日益增长A0.010752688172043012 累加A0.02956989247311828
  	class: 模仿  	d: 27  	pt: 0.7294117647058823  	diff:  学A0.11176470588235295 模拟AB0.3647058823529412 模仿A0.23823529411764705 仿照A0.0029411764705882353 法A0.0029411764705882353 仿A0.0058823529411764705 效仿A0.0029411764705882353
  	class: 姿势  	d: 6  	pt: 0.7222222222222223  	diff:  姿势AB0.36111111111111116 式子A0.3611111111111111
  	class: 通顺  	d: 10  	pt: 0.7142857142857142  	diff:  流畅AB0.3571428571428571 流利A0.35714285714285715
  	class: 取得  	d: 16  	pt: 0.7039473684210525  	diff:  获取AB0.3519736842105263 取A0.2138157894736842 赢得A0.03289473684210526 获A0.046052631578947366 落A0.009868421052631578 抱A0.01644736842105263 收获A0.023026315789473683 博A0.009868421052631578
  	class: 兴趣  	d: 4  	pt: 0.7  	diff:  感兴趣AB0.35 兴趣A0.35
  	class: 唤醒  	d: 6  	pt: 0.6785714285714286  	diff:  提示AB0.3392857142857143 提醒A0.16071428571428573 提拔A0.017857142857142856 唤醒A0.16071428571428573
  	class: 写作  	d: 22  	pt: 0.6511627906976745  	diff:  写作AB0.32558139534883723 撰写A0.23255813953488372 撰文A0.06976744186046512 著作A0.023255813953488372
  	class: 规律  	d: 6  	pt: 0.6356589147286822  	diff:  规律A0.14728682170542637 原理AB0.3178294573643411 法则A0.17054263565891473
  	class: 希望  	d: 23  	pt: 0.615126050420168  	diff:  希望AB0.30756302521008405 期望A0.22521008403361345 期待A0.043697478991596636 意在A0.005042016806722689 梦想A0.021848739495798318 期A0.011764705882352941
  	class: 近似  	d: 17  	pt: 0.610558069381599  	diff:  类似AB0.3052790346907994 接近AB0.029260935143288064 看似A0.02564102564102564 相近A0.042232277526395176 类A0.02564102564102564 近似A0.15987933634992457 相仿A0.004524886877828055 好像A0.01809954751131222
  	class: 特征  	d: 6  	pt: 0.6006904487917145  	diff:  特征AB0.3003452243958573 特性A0.04660529344073648 表征A0.25028768699654774 特色A0.0034522439585730723
  	class: 开始  	d: 24  	pt: 0.5739130434782608  	diff:  开端A0.034782608695652174 开A0.19130434782608696 初始AB0.28695652173913044 开头A0.043478260869565216 启幕A0.008695652173913044 启A0.008695652173913044
  	class: 胜于  	d: 13  	pt: 0.553030303030303  	diff:  高AB0.2689393939393939 强AB0.2765151515151515 胜过A0.007575757575757576
  	class: 实行  	d: 11  	pt: 0.5384615384615384  	diff:  执行AB0.2692307692307693 实践A0.11076923076923077 实施A0.07076923076923076 行A0.08461538461538462 执A0.0015384615384615385 实行A0.0015384615384615385
  	class: 精巧  	d: 22  	pt: 0.5384615384615384  	diff:  精细AB0.2692307692307693 精妙A0.07692307692307693 精巧A0.15384615384615385 精密A0.038461538461538464
  	class: 创立  	d: 11  	pt: 0.5265486725663717  	diff:  创建AB0.26327433628318586 创造A0.168141592920354 创立A0.06858407079646017 创办A0.01327433628318584 开创A0.01327433628318584
