learn:dsjwz.csv check jqzx.csv:157:深度 | 级联MobileNet-V2实现人脸关键点检测（附训练源码） 	 Result: 	0.20679107619110218 	476 	143



  	class: 遮挡  	d: 15  	pt: 2.0  	diff:  屏蔽A0.6 挡A0.4 遮挡B1.0
  	class: 方  	d: 7  	pt: 2.0  	diff:  方块A1.0 方框B1.0
  	class: 抛弃  	d: 27  	pt: 2.0  	diff:  抛弃A0.13333333333333333 摒弃A0.2 丢掉A0.2 抛开A0.06666666666666667 丢A0.06666666666666667 扔A0.13333333333333333 抛A0.06666666666666667 撇开A0.13333333333333333 丢弃B1.0
  	class: 合计  	d: 11  	pt: 2.0  	diff:  累计A0.5714285714285714 总计A0.42857142857142855 共计B1.0
  	class: 准确  	d: 6  	pt: 1.9753086419753085  	diff:  精确A0.2716049382716049 准确A0.7160493827160493 高精度AB0.9876543209876543
  	class: 强大  	d: 27  	pt: 1.952380952380952  	diff:  强有力A0.05952380952380952 无敌A0.07142857142857142 强大A0.8095238095238095 精AB0.9761904761904762 强硬A0.023809523809523808 强劲A0.011904761904761904
  	class: 有  	d: 28  	pt: 1.9371727748691097  	diff:  拥有A0.6020942408376964 富有AB0.9685863874345549 具A0.06806282722513089 具备A0.193717277486911 持有A0.07853403141361257 负有A0.010471204188481676 存有A0.005235602094240838 享有A0.010471204188481676
  	class: 挑选  	d: 26  	pt: 1.9310344827586206  	diff:  选项A0.05517241379310345 选择A0.7965517241379311 选A0.02413793103448276 抉择A0.027586206896551724 挑选A0.03103448275862069 选取AB0.9655172413793104 增选A0.0034482758620689655 甄选A0.006896551724137931 取舍A0.020689655172413793
  	class: 用于  	d: 3  	pt: 1.8969072164948453  	diff:  用于A0.9484536082474226 用以AB0.9484536082474226
  	class: 见解  	d: 8  	pt: 1.8125  	diff:  视角A0.1015625 看法A0.1484375 观点A0.453125 意见AB0.90625 理念A0.0703125 见解A0.1015625 眼光A0.03125
  	class: 结束  	d: 38  	pt: 1.7659574468085104  	diff:  完毕AB0.8829787234042553 完A0.30851063829787234 截止A0.0851063829787234 结束A0.40425531914893614 完结A0.031914893617021274 收A0.02127659574468085 告终A0.02127659574468085 终结A0.010638297872340425
  	class: 分开  	d: 13  	pt: 1.7600000000000002  	diff:  细分A0.17 划分AB0.88 分A0.53 分割A0.12 分叉A0.02 瓜分A0.04
  	class: 宣布  	d: 11  	pt: 1.720338983050847  	diff:  发布A0.7627118644067796 公布AB0.8601694915254238 揭示A0.029661016949152543 颁发A0.029661016949152543 颁布A0.00847457627118644 昭示A0.00847457627118644 宣告A0.012711864406779662 揭晓A0.00847457627118644
  	class: 倍数  	d: 4  	pt: 1.7142857142857144  	diff:  倍数AB0.8571428571428572 翻番A0.8571428571428571
  	class: 如梭  	d: 4  	pt: 1.7142857142857144  	diff:  高效率AB0.8571428571428572 速成A0.8571428571428571
  	class: 胜于  	d: 13  	pt: 1.6874999999999998  	diff:  高A0.828125 强AB0.84375 胜A0.005208333333333333 赛A0.005208333333333333 胜过A0.005208333333333333
