learn:dsjwz.csv check jqzx.csv:316:深度 | 解读R-Net：微软「超越人类」的阅读理解人工智能 	 Result: 	0.1720490885969784 	422 	128



  	class: 特征  	d: 6  	pt: 1.9788732394366195  	diff:  特征A0.8626760563380281 特性A0.11619718309859155 特色A0.01056338028169014 表征AB0.9894366197183099
  	class: 相距  	d: 7  	pt: 1.955056179775281  	diff:  距离A0.651685393258427 离开A0.24719101123595505 偏离A0.0449438202247191 相距AB0.9775280898876404 相差A0.033707865168539325
  	class: 见解  	d: 8  	pt: 1.796875  	diff:  视角AB0.8984375 看法A0.1484375 观点A0.453125 意见A0.09375 理念A0.0703125 见解A0.1015625 眼光A0.03125
  	class: 增强  	d: 9  	pt: 1.7704918032786885  	diff:  提高A0.42213114754098363 增长A0.45901639344262296 增强AB0.8852459016393442 增进A0.004098360655737705
  	class: 超越  	d: 9  	pt: 1.75  	diff:  超过A0.5387931034482759 跨越A0.02586206896551724 跳A0.0603448275862069 超A0.21551724137931033 超越AB0.875 跨A0.034482758620689655
  	class: 好  	d: 49  	pt: 1.7477477477477474  	diff:  出色A0.09009009009009009 漂亮A0.07207207207207207 优秀A0.2882882882882883 精彩AB0.8738738738738738 理想A0.3063063063063063 精美A0.018018018018018018 佳A0.018018018018018018 美妙A0.04504504504504504 拔尖A0.009009009009009009 优异A0.009009009009009009 帅A0.009009009009009009 妙A0.009009009009009009
  	class: 推动  	d: 12  	pt: 1.6705882352941177  	diff:  推动A0.2529411764705882 推A0.4117647058823529 推进A0.14705882352941177 推向A0.023529411764705882 有助于AB0.8352941176470589
  	class: 意义  	d: 2  	pt: 1.654320987654321  	diff:  含义AB0.8271604938271605 意义A0.8271604938271605
  	class: 父  	d: 15  	pt: 1.5999999999999999  	diff:  父A0.6 父亲AB0.8 爸爸A0.2
  	class: 本来  	d: 12  	pt: 1.5714285714285714  	diff:  原始A0.5857142857142857 原AB0.34285714285714286 旧AB0.44285714285714284 原有A0.07142857142857142 原本A0.12857142857142856
  	class: 一连  	d: 16  	pt: 1.5625  	diff:  连接A0.78125 连续AB0.78125
  	class: 反而  	d: 7  	pt: 1.5  	diff:  倒A0.75 反AB0.75
  	class: 当做  	d: 9  	pt: 1.4634146341463414  	diff:  当做A0.17073170731707318 当作A0.14634146341463414 看作A0.21951219512195122 看成A0.0975609756097561 看做A0.0975609756097561 用作AB0.7317073170731707
  	class: 处于  	d: 9  	pt: 1.4328358208955225  	diff:  处AB0.7164179104477613 处于A0.7014925373134329 高居A0.014925373134328358
  	class: 涉及  	d: 14  	pt: 1.417624521072797  	diff:  提到A0.2413793103448276 关系A0.4329501915708812 涉及AB0.7088122605363985 关乎A0.01532567049808429 干A0.01532567049808429 事关A0.0038314176245210726
  	class: 重要  	d: 29  	pt: 1.3918918918918919  	diff:  重要性A0.22297297297297297 重点AB0.6959459459459459 关键A0.43243243243243246 着重A0.04054054054054054
  	class: 正规  	d: 11  	pt: 1.3719806763285023  	diff:  专业A0.6570048309178744 标准AB0.26224982746721875 正规AB0.4237405106970324 规范A0.028985507246376812
