learn:dsjwz.csv check jqzx.csv:344:学界 | 如何通过方差偏移理解批归一化与Dropout之间的冲突 	 Result: 	0.16584103396314795 	306 	92



  	class: 揭露  	d: 7  	pt: 2.0  	diff:  揭开A1.0 揭露B1.0
  	class: 解决  	d: 9  	pt: 1.951219512195122  	diff:  解决A0.975609756097561 缓解AB0.975609756097561
  	class: 本来  	d: 12  	pt: 1.6857142857142857  	diff:  原始A0.5857142857142857 原AB0.8428571428571429 旧A0.05714285714285714 原有A0.07142857142857142 原本A0.12857142857142856
  	class: 近似  	d: 17  	pt: 1.6701030927835052  	diff:  类似A0.5 接近AB0.8350515463917526 类A0.02577319587628866 好像A0.07731958762886598 相近A0.041237113402061855 象是A0.005154639175257732 近似A0.12886597938144329 看似A0.05670103092783505
  	class: 景象  	d: 10  	pt: 1.6595744680851063  	diff:  状况A0.0425531914893617 现象AB0.8297872340425532 场景A0.7163120567375887 情景A0.05673758865248227 万象A0.0070921985815602835 景象A0.0070921985815602835
  	class: 推测  	d: 16  	pt: 1.6153846153846152  	diff:  推断A0.5769230769230769 推测AB0.8076923076923077 想来A0.019230769230769232 推论A0.21153846153846154
  	class: 思考  	d: 20  	pt: 1.6107382550335572  	diff:  思维A0.16778523489932887 思想AB0.8053691275167785 思考A0.4697986577181208 想想A0.1342281879194631 构思A0.03355704697986577
  	class: 处于  	d: 9  	pt: 1.4328358208955225  	diff:  处AB0.7164179104477613 处于A0.7014925373134329 高居A0.014925373134328358
  	class: 管保  	d: 16  	pt: 1.3643410852713178  	diff:  包A0.24031007751937986 保证AB0.6821705426356589 确保A0.4263565891472868 担保A0.007751937984496124 承保A0.007751937984496124
  	class: 使用  	d: 14  	pt: 1.3306451612903227  	diff:  利用A0.5362903225806451 用到A0.12096774193548387 采用AB0.6653225806451613 运A0.004032258064516129 动用A0.004032258064516129
  	class: 非常  	d: 47  	pt: 1.276595744680851  	diff:  坏A0.3404255319148936 深AB0.6382978723404256 死A0.1276595744680851 酷A0.0425531914893617 不行A0.0851063829787234 生A0.02127659574468085 可怜A0.02127659574468085
  	class: 下降  	d: 23  	pt: 1.2631578947368423  	diff:  下降A0.47368421052631576 降低AB0.631578947368421 下跌A0.06015037593984962 降A0.045112781954887216 暴跌A0.015037593984962405 退A0.007518796992481203 下滑A0.007518796992481203 跌A0.015037593984962405 降落A0.007518796992481203
  	class: 政策  	d: 5  	pt: 1.2439024390243902  	diff:  策略AB0.6219512195121951 政策A0.6219512195121951
  	class: 成为  	d: 8  	pt: 1.22  	diff:  化为A0.01 成A0.51 化AB0.61 变为A0.07 改为A0.02
  	class: 水平  	d: 5  	pt: 1.219512195121951  	diff:  程度A0.5934959349593496 水平AB0.6097560975609756 水准A0.008130081300813009 品位A0.008130081300813009
  	class: 增强  	d: 9  	pt: 1.1557377049180326  	diff:  提高AB0.5778688524590163 增长A0.45901639344262296 增强A0.11475409836065574 增进A0.004098360655737705
  	class: 重要  	d: 29  	pt: 1.135135135135135  	diff:  重要性A0.22297297297297297 重点A0.30405405405405406 关键AB0.5675675675675675 着重A0.04054054054054054
