learn:dsjwz.csv check jqzx.csv:204:教程 | 通过Python实现马尔科夫链蒙特卡罗方法的入门级应用 	 Result: 	0.17070897812825642 	598 	191



  	class: 愤怒  	d: 33  	pt: 2.0  	diff:  愤怒A1.0 恼怒B1.0
  	class: 犹豫  	d: 25  	pt: 2.0  	diff:  犹豫A1.0 徘徊B1.0
  	class: 参阅  	d: 4  	pt: 1.9310344827586208  	diff:  参考A0.896551724137931 参照A0.06896551724137931 参阅AB0.9655172413793104
  	class: 相距  	d: 7  	pt: 1.9101123595505618  	diff:  距离A0.651685393258427 离开A0.24719101123595505 偏离AB0.9550561797752809 相距A0.02247191011235955 相差A0.033707865168539325
  	class: 连接  	d: 22  	pt: 1.826086956521739  	diff:  连结A0.08695652173913043 连通A0.6086956521739131 接入A0.08695652173913043 通A0.043478260869565216 过渡AB0.9130434782608696 对接A0.08695652173913043
  	class: 猜想  	d: 8  	pt: 1.8181818181818181  	diff:  猜A0.9090909090909091 猜想AB0.9090909090909091
  	class: 一再  	d: 23  	pt: 1.8148148148148149  	diff:  频繁A0.12037037037037036 数A0.7870370370370371 反复AB0.9074074074074074
  	class: 包含  	d: 25  	pt: 1.787037037037037  	diff:  包含A0.7129629629629629 涵盖A0.08796296296296297 隐含A0.032407407407407406 带有AB0.8935185185185185 含有A0.032407407407407406 蕴涵A0.009259259259259259 含A0.009259259259259259 蕴含A0.009259259259259259
  	class: 特征  	d: 6  	pt: 1.767605633802817  	diff:  特征A0.8626760563380281 特性AB0.8838028169014085 特色A0.01056338028169014 表征A0.01056338028169014
  	class: 享受  	d: 8  	pt: 1.752212389380531  	diff:  分享A0.8672566371681416 享受AB0.8761061946902655 享用A0.008849557522123894
  	class: 表  	d: 4  	pt: 1.7391304347826086  	diff:  报表A0.043478260869565216 表格A0.8260869565217391 手表AB0.8695652173913043
  	class: 抛弃  	d: 27  	pt: 1.7333333333333332  	diff:  抛弃AB0.3666666666666667 摒弃A0.2 丢掉A0.2 抛开A0.06666666666666667 丢A0.06666666666666667 扔A0.13333333333333333 抛A0.06666666666666667 撇开A0.13333333333333333 丢弃B0.5
  	class: 唤醒  	d: 6  	pt: 1.6774193548387095  	diff:  提示A0.3225806451612903 提醒A0.5161290322580645 唤醒AB0.8387096774193549
  	class: 迷路  	d: 4  	pt: 1.6666666666666667  	diff:  迷路A0.3333333333333333 迷失AB0.8333333333333334 迷航A0.5
  	class: 开始  	d: 24  	pt: 1.6521739130434783  	diff:  开头A0.42028985507246375 开A0.34782608695652173 初始AB0.8260869565217391 开端A0.057971014492753624
  	class: 做  	d: 9  	pt: 1.6470588235294117  	diff:  搞A0.7058823529411765 弄AB0.8235294117647058 打出A0.11764705882352941
  	class: 机关  	d: 3  	pt: 1.639344262295082  	diff:  机构A0.5245901639344263 单位AB0.819672131147541 部门A0.29508196721311475
  	class: 思考  	d: 20  	pt: 1.6107382550335572  	diff:  思维A0.16778523489932887 思想AB0.8053691275167785 思考A0.4697986577181208 想想A0.1342281879194631 构思A0.03355704697986577
