learn:jqzx.csv check Article155:【岛读】郑永年：精英的堕落与世界的混乱 	 Result: 	0.2627634767794702 	537 	184



  	class: 知识分子  	d: 21  	pt: 2.0  	diff:  学士A1.0 知识分子B1.0
  	class: 小人物  	d: 7  	pt: 2.0  	diff:  普通人A0.6666666666666666 老百姓A0.3333333333333333 小人物B1.0
  	class: 女  	d: 11  	pt: 2.0  	diff:  女性A1.0 女儿B1.0
  	class: 农民  	d: 11  	pt: 2.0  	diff:  农民A1.0 农B1.0
  	class: 穷人  	d: 7  	pt: 2.0  	diff:  穷人A1.0 贫民B1.0
  	class: 内情  	d: 10  	pt: 2.0  	diff:  背景A0.9914529914529915 虚实A0.008547008547008548 内幕B1.0
  	class: 体裁  	d: 4  	pt: 2.0  	diff:  体A0.9762376237623762 样式A0.023762376237623763 体制B1.0
  	class: 看  	d: 22  	pt: 2.0  	diff:  观看A0.6875 见见A0.03125 见到A0.28125 视B1.0
  	class: 实行  	d: 11  	pt: 2.0  	diff:  执行A0.7307692307692307 实践A0.11076923076923077 实施A0.07076923076923076 行A0.08461538461538462 执A0.0015384615384615385 实行A0.0015384615384615385 推行B1.0
  	class: 风景  	d: 14  	pt: 2.0  	diff:  景点A0.25 景物A0.125 景色A0.125 景观A0.5 风光B1.0
  	class: 学界  	d: 7  	pt: 2.0  	diff:  学界A0.6825396825396826 学术界A0.30158730158730157 科学界A0.015873015873015872 知识界B1.0
  	class: 品行  	d: 7  	pt: 2.0  	diff:  品行A1.0 情操B0.3333333333333333 品德B0.6666666666666666
  	class: 致命  	d: 5  	pt: 2.0  	diff:  致命A1.0 沉重B1.0
  	class: 富裕  	d: 38  	pt: 2.0  	diff:  宽A0.8666666666666667 极富A0.06666666666666667 丰厚A0.06666666666666667 富裕B1.0
  	class: 衰落  	d: 23  	pt: 2.0  	diff:  中落A1.0 衰落B1.0
  	class: 增多  	d: 14  	pt: 2.0  	diff:  增加A0.9455128205128205 增多A0.022435897435897436 增A0.009615384615384616 搭A0.022435897435897436 大增B1.0
  	class: 安全  	d: 12  	pt: 2.0  	diff:  平安A1.0 安好B1.0
  	class: 触动  	d: 13  	pt: 2.0  	diff:  激动A0.6666666666666666 震撼A0.16666666666666666 打动A0.16666666666666666 撼动B1.0
  	class: 借债  	d: 9  	pt: 2.0  	diff:  借款A1.0 贷B1.0
  	class: 分裂  	d: 7  	pt: 2.0  	diff:  分裂A0.5 瓦解A0.5 解体B1.0
  	class: 使用  	d: 14  	pt: 1.9975990396158463  	diff:  采用A0.2809123649459784 利用A0.6650660264105642 用到A0.05162064825930372 动用AB0.9987995198079231 行使A0.0012004801920768306
  	class: 消除  	d: 43  	pt: 1.9876543209876547  	diff:  免去A0.018518518518518517 解除A0.030864197530864196 排A0.06790123456790123 排除A0.08641975308641975 脱AB0.9938271604938271 解A0.46296296296296297 去掉A0.08024691358024691 消除A0.1728395061728395 打消A0.006172839506172839 散A0.012345679012345678 清除A0.024691358024691357 破除A0.006172839506172839 破A0.012345679012345678 消A0.012345679012345678
